Series ID,Year,Period,Label,Value
LNS13000000,2020,M01,2020 Jan,5826
LNS13000000,2020,M02,2020 Feb,5717
LNS13000000,2020,M03,2020 Mar,7165
LNS13000000,2020,M04,2020 Apr,23038
LNS13000000,2020,M05,2020 May,20940
LNS13000000,2020,M06,2020 Jun,17616
LNS13000000,2020,M07,2020 Jul,16288
LNS13000000,2020,M08,2020 Aug,13532
LNS13000000,2020,M09,2020 Sep,12584
LNS13000000,2020,M10,2020 Oct,11115
LNS13000000,2020,M11,2020 Nov,10777
LNS13000000,2020,M12,2020 Dec,10789
LNS13000000,2021,M01,2021 Jan,10180
LNS13000000,2021,M02,2021 Feb,9992
LNS13000000,2021,M03,2021 Mar,9691
LNS13000000,2021,M04,2021 Apr,9719
LNS13000000,2021,M05,2021 May,9251
LNS13000000,2021,M06,2021 Jun,9502
LNS13000000,2021,M07,2021 Jul,8671
LNS13000000,2021,M08,2021 Aug,8339
LNS13000000,2021,M09,2021 Sep,7666
LNS13000000,2021,M10,2021 Oct,7375
LNS13000000,2021,M11,2021 Nov,6802
LNS13000000,2021,M12,2021 Dec,6319
LNS13000000,2022,M01,2022 Jan,6513
LNS13000000,2022,M02,2022 Feb,6270
LNS13000000,2022,M03,2022 Mar,5952
LNS13000000,2022,M04,2022 Apr,5941
LNS13000000,2022,M05,2022 May,5950
